"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",67.5,60.5,56.7,67.6,59.8,54.2,68.2,61.1,"N/A"
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*","*","N/A","*","*","N/A","*","*","N/A"
"Shelton School District","=""1260011""","Alternative Learning Center 2","=""1261311""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",79.2,72.9,"N/A",81.1,77.4,"N/A",82.6,77.4,"N/A"
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",78.3,72.4,"N/A",80.5,73.7,"N/A",82.6,75.6,"N/A"
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",73.1,66.7,61.8,71.3,66.2,59.8,73.7,68.7,"N/A"
"Shelton School District","=""1260011""","Life Skills","=""1260311""","*","*","N/A","*","*","N/A","*","*","N/A"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",78.1,68.4,"N/A",76.6,69.3,"N/A",77.1,73.0,"N/A"
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",81.5,77.2,"N/A",83.0,77.6,"N/A",82.0,76.5,"N/A"
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",78.1,68.1,63.9,76.2,69.9,61.5,77.7,72.3,"N/A"
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",62.4,59.5,61.4,62.6,60.9,57.1,61.9,59.9,"N/A"
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",77.8,72.5,"N/A",77.6,73.6,"N/A",76.7,71.5,"N/A"
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Sherman School District","=""1270011""","Sherman School","=""1270111""",75.2,72.2,60.2,74.5,73.0,57.0,73.2,69.3,"N/A"
"Simsbury School District","=""1280011""","Central School","=""1280111""",86.4,77.6,69.1,85.1,79.0,65.8,84.6,76.9,"N/A"
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",80.2,72.2,66.4,79.0,72.2,67.0,82.3,74.7,"N/A"
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",79.8,72.2,67.6,81.4,75.9,60.3,82.8,72.6,"N/A"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",71.2,71.1,76.2,75.9,72.8,73.2,74.0,72.1,"N/A"
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",81.9,73.1,71.7,83.5,77.8,70.5,86.0,76.6,"N/A"
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",83.3,75.3,77.9,83.3,78.9,69.2,80.7,75.1,"N/A"
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",85.4,76.5,69.9,84.0,79.0,70.7,83.2,74.1,"N/A"
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*","*","*","*","N/A","*","*","N/A"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",75.0,66.5,61.6,71.0,66.1,56.7,67.7,65.9,"N/A"
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",76.5,69.4,70.0,71.7,68.0,66.7,72.7,67.1,"N/A"
"Somers School District","=""1290011""","Somers High School","=""1296111""",63.1,61.7,67.8,65.0,62.2,58.7,59.6,58.6,"N/A"
"Southington School District","=""1310011""","Achieve","=""1311711""","N/A","N/A","*","N/A","N/A","*","*","*","N/A"
"Southington School District","=""1310011""","Alta","=""1310111""","*","*","*","*","*","*","*","*","N/A"
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",74.2,70.7,64.0,75.1,71.5,58.0,75.7,71.6,"N/A"
"Southington School District","=""1310011""","EASE","=""1310511""","*","*","*","*","*","*","*","*","N/A"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",74.1,70.5,70.5,75.2,72.3,60.8,73.4,70.6,"N/A"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",75.3,73.3,65.3,75.1,73.5,58.4,76.0,73.0,"N/A"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",73.8,67.4,60.7,72.4,67.2,59.6,73.4,66.3,"N/A"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",72.9,65.5,59.1,74.3,67.8,59.1,73.1,67.4,"N/A"
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""","*","*","*","*","*","*","*","*","N/A"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",77.4,72.8,62.8,79.1,75.0,59.9,78.4,75.9,"N/A"
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",73.1,68.7,56.5,72.2,71.5,55.0,77.2,74.8,"N/A"
"Southington School District","=""1310011""","Southington High School","=""1316211""",63.3,62.2,67.4,65.4,64.2,59.0,62.4,59.5,"N/A"
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",76.7,72.5,66.1,75.1,71.6,57.0,72.1,70.3,"N/A"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",72.3,68.6,60.7,77.0,73.3,64.3,77.0,71.5,"N/A"
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*","*","*","*","*","*","*","*","N/A"
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","N/A","N/A","*","*","*","N/A","*","*","N/A"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",79.8,74.0,64.3,78.9,75.6,60.8,77.5,75.8,"N/A"
"South Windsor School District","=""1320011""","Alternative Education Program","=""1320311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",79.2,77.5,62.8,78.3,75.4,63.8,77.6,73.2,"N/A"
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",83.2,81.2,67.7,81.3,80.8,64.8,83.4,80.3,"N/A"
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",82.2,79.2,66.8,83.4,78.3,63.1,83.4,80.2,"N/A"
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",81.7,79.7,66.7,79.5,80.3,65.0,80.5,78.0,"N/A"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",65.7,64.1,73.9,67.5,65.8,63.1,63.5,61.6,"N/A"
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",77.4,74.5,65.9,77.2,74.8,62.7,76.8,75.2,"N/A"
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",79.4,70.4,65.5,78.4,75.0,65.3,"N/A","N/A","N/A"
"Sprague School District","=""1330011""","Sayles School","=""1330111""",66.4,59.5,62.7,63.5,58.5,54.0,64.5,58.8,"N/A"
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",71.3,68.0,57.9,70.5,64.3,58.7,68.8,62.8,"N/A"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",61.5,60.3,66.5,64.0,60.1,60.8,56.7,55.0,"N/A"
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",74.6,65.8,63.9,70.6,62.8,63.9,69.8,62.3,"N/A"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*","*","*","*","*","*","N/A","N/A","N/A"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","*","*","*","*","*","*","*","*","N/A"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",64.0,55.2,51.4,64.0,55.6,50.9,62.4,52.9,"N/A"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",68.1,63.4,57.8,65.1,64.1,56.1,66.4,65.7,"N/A"
"Stamford School District","=""1350011""","Dolan School","=""1355311""",65.3,58.1,55.0,64.2,58.7,51.0,64.3,58.1,"N/A"
"Stamford School District","=""1350011""","Hart School","=""1352211""",72.4,68.9,63.0,72.0,72.7,65.1,72.6,69.1,"N/A"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",66.3,58.9,53.8,67.1,62.8,49.4,67.9,64.3,"N/A"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",69.9,65.5,50.9,71.2,70.6,53.7,66.8,64.5,"N/A"
"Stamford School District","=""1350011""","Newfield School","=""1350611""",67.3,61.8,59.9,69.4,65.8,57.8,69.7,64.3,"N/A"
"Stamford School District","=""1350011""","Northeast School","=""1351811""",67.3,61.7,52.4,66.7,64.3,52.7,67.1,66.1,"N/A"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",61.8,55.0,52.6,62.2,53.3,52.1,59.5,52.6,"N/A"
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",72.1,67.8,58.6,73.3,71.3,59.6,73.6,71.8,"N/A"
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",67.1,59.9,51.3,64.0,62.3,50.6,65.8,61.3,"N/A"
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",72.4,66.4,60.2,70.5,66.9,62.7,71.0,67.0,"N/A"
"Stamford School District","=""1350011""","Springdale School","=""1351111""",65.7,59.2,51.8,63.4,63.8,48.4,67.9,66.0,"N/A"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",51.8,49.6,49.2,54.5,51.7,48.7,54.4,52.5,"N/A"
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",66.4,62.8,56.9,64.6,63.1,52.8,66.1,64.3,"N/A"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",60.3,56.9,57.9,64.2,59.1,54.9,61.1,59.6,"N/A"
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",66.0,62.0,53.2,65.5,66.3,53.0,67.5,66.4,"N/A"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",61.4,56.7,50.6,67.0,60.4,58.7,64.0,58.1,"N/A"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",55.0,52.8,50.1,56.5,53.4,49.5,54.8,53.6,"N/A"
"Stamford School District","=""1350011""","Westover School","=""1351411""",74.7,68.0,53.7,73.7,68.3,58.1,73.1,68.2,"N/A"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",69.1,58.1,53.2,66.2,56.1,55.7,67.1,58.1,"N/A"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",83.4,76.9,"N/A",82.5,79.6,"N/A",83.4,80.0,"N/A"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",74.9,70.6,67.1,74.8,70.8,66.1,75.4,70.4,"N/A"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",73.8,67.1,60.8,74.4,66.5,61.0,74.4,64.7,"N/A"
"Stonington School District","=""1370011""","SAILS","=""1370711""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",62.9,60.9,64.7,66.9,63.0,61.9,63.3,61.7,"N/A"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",79.5,76.0,"N/A",82.7,79.3,"N/A",80.9,77.4,"N/A"
"Stratford School District","=""1380011""","ABA - K-6","=""1380611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","*","*","*","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",55.0,50.6,58.0,56.3,53.8,50.8,51.3,50.4,"N/A"
"Stratford School District","=""1380011""","Chapel School","=""1380311""",63.6,56.2,49.7,62.3,54.9,49.3,63.8,56.8,"N/A"
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","*","*","N/A","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",62.8,49.8,56.6,64.8,51.9,55.5,62.9,50.4,"N/A"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",73.5,63.3,59.0,71.1,62.5,55.7,70.3,63.3,"N/A"
"Stratford School District","=""1380011""","Franklin School","=""1380411""",62.7,53.0,54.8,64.5,56.1,49.1,64.8,54.5,"N/A"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",63.3,50.5,50.5,61.9,51.0,52.7,61.7,51.7,"N/A"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","*","*","*","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","*","*","*","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","*","*","N/A","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Lordship School","=""1380811""",67.8,62.0,47.3,66.4,61.0,52.6,69.7,63.2,"N/A"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","*","*","N/A","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Nichols School","=""1380911""",63.8,54.9,46.1,61.5,55.0,45.2,63.9,59.2,"N/A"
"Stratford School District","=""1380011""","STEPS 7-8","=""1381911""","*","*","*","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","STEPS 9-12","=""1382011""","*","*","N/A","*","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",68.9,58.9,55.4,66.5,58.0,56.4,66.8,60.1,"N/A"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",74.6,65.2,59.8,75.2,66.1,60.8,74.8,68.7,"N/A"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",56.9,51.1,54.8,53.3,48.7,50.1,54.3,50.7,"N/A"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",66.4,59.3,57.3,68.3,61.4,51.7,67.2,62.8,"N/A"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",75.6,64.6,60.7,73.4,66.4,58.7,75.5,69.9,"N/A"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",65.6,61.0,69.6,65.8,64.0,69.7,66.2,63.2,"N/A"
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",75.2,66.5,61.3,74.3,67.3,63.1,73.8,66.2,"N/A"
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",63.4,56.9,"N/A",67.2,62.0,"N/A",68.3,62.4,"N/A"
"Thomaston School District","=""1400011""","PATHS","=""1400311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",68.4,64.8,62.5,69.3,62.3,57.1,68.9,62.3,"N/A"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",65.7,59.0,57.4,70.5,62.9,58.3,70.8,61.8,"N/A"
"Thompson School District","=""1410011""","District Autism Program","=""1410211""","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",63.8,60.6,"N/A",68.2,62.9,"N/A",68.6,63.6,"N/A"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",60.6,54.1,55.8,61.7,55.5,55.4,59.0,55.3,"N/A"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",55.5,49.3,49.6,53.0,48.9,50.2,53.8,51.9,"N/A"
"Tolland School District","=""1420011""","LEAP","=""1420411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Tolland School District","=""1420011""","TALC","=""1420311""","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",68.0,67.9,68.3,67.3,66.7,65.4,67.0,68.0,"N/A"
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",78.9,73.0,68.1,76.0,71.6,64.6,75.4,70.2,"N/A"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",74.9,71.6,64.0,74.7,70.6,64.7,75.0,69.6,"N/A"
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""","*","*","N/A","*","*","N/A","*","*","N/A"
"Torrington School District","=""1430011""","ABC / Vogel Wetmore","=""1432411""","N/A","N/A","N/A","*","*","*","N/A","N/A","N/A"
"Torrington School District","=""1430011""","East School","=""1430111""",72.8,64.8,67.3,73.1,64.3,58.9,73.0,65.4,"N/A"
"Torrington School District","=""1430011""","Forbes School","=""1430211""",63.3,53.5,62.1,66.2,55.8,49.2,65.6,60.3,"N/A"
"Torrington School District","=""1430011""","New Opportunity Program","=""1431411""","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Torrington School District","=""1430011""","Southwest School","=""1430811""",72.9,60.4,62.7,72.6,60.0,58.3,73.7,63.4,"N/A"
"Torrington School District","=""1430011""","Torringford School","=""1430911""",69.4,61.4,54.6,68.7,59.9,52.6,71.0,62.1,"N/A"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",54.7,49.4,52.4,54.2,49.9,48.7,51.0,49.5,"N/A"
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",60.2,51.4,54.6,57.6,50.2,49.3,61.9,52.5,"N/A"
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",69.7,63.4,54.4,68.5,59.5,52.5,67.4,62.2,"N/A"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",83.9,80.4,70.1,82.7,80.7,65.0,84.5,80.7,"N/A"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",85.2,81.1,73.8,85.5,84.1,72.0,86.3,84.0,"N/A"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",83.8,77.9,67.7,81.4,76.5,66.3,79.1,73.2,"N/A"
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",83.2,77.4,64.9,84.4,79.1,65.4,84.5,80.3,"N/A"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",86.8,81.6,71.8,84.7,80.3,66.1,84.3,78.7,"N/A"
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",80.5,76.7,65.0,79.5,77.0,65.8,79.1,76.7,"N/A"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",80.7,75.1,64.9,80.6,80.2,67.0,83.8,78.8,"N/A"
"Trumbull School District","=""1440011""","REACH","=""1440511""","*","*","*","*","*","*","N/A","N/A","N/A"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",84.0,81.3,67.1,85.7,81.9,65.3,86.3,83.8,"N/A"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","*","*","N/A","*","*","*","*","*","N/A"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",65.6,65.9,72.5,69.9,68.4,68.6,66.7,66.8,"N/A"
"Union School District","=""1450011""","Union Elementary School","=""1450111""",72.8,67.8,"*",74.1,66.6,"*",75.5,66.0,"N/A"
"Vernon School District","=""1460011""","Center Road School","=""1461411""",67.2,60.7,52.7,68.5,68.7,54.1,65.8,65.5,"N/A"
"Vernon School District","=""1460011""","Elementary Activities Based Learning Program","=""1461111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Vernon School District","=""1460011""","First Step","=""1460911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",68.2,64.2,59.1,72.4,69.0,55.7,74.0,71.5,"N/A"
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",61.7,57.7,53.7,60.7,58.6,42.4,63.8,58.9,"N/A"
"Vernon School District","=""1460011""","Northeast School","=""1460311""",69.1,63.5,58.9,70.8,68.4,54.4,75.5,73.7,"N/A"
"Vernon School District","=""1460011""","Renaissance Program","=""1460811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",58.6,54.2,53.6,55.4,51.5,53.0,58.3,53.4,"N/A"
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",63.5,59.6,50.9,67.4,63.8,49.3,69.2,64.1,"N/A"
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",62.3,56.0,53.2,65.9,58.5,52.4,61.6,57.9,"N/A"
"Vernon School District","=""1460011""","West Main Learning Center","=""1460611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",73.8,68.2,59.6,75.6,70.9,61.1,74.5,69.2,"N/A"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","*","*","*","*","*","*","N/A","N/A","N/A"
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",68.9,61.4,62.7,67.0,61.7,59.3,65.9,59.3,"N/A"
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","*","*","*","*","*","*","*","*","N/A"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*","*","*","*","*","*","*","*","N/A"
"Wallingford School District","=""1480011""","Inspire","=""1481311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",67.6,62.0,60.2,67.5,62.1,60.0,64.5,59.9,"N/A"
"Wallingford School District","=""1480011""","K-5 Benhaven ABC Program","=""1480611""","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",57.1,52.0,62.7,60.8,56.0,60.1,59.5,55.1,"N/A"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",62.6,56.2,60.1,60.1,56.7,56.6,57.8,57.1,"N/A"
"Wallingford School District","=""1480011""","Mary G. Fritz Elementary School of Yalesville","=""1480811""",74.3,69.9,63.3,70.3,67.0,59.5,69.9,68.1,"N/A"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",69.8,65.4,57.7,68.8,64.2,52.8,69.7,64.1,"N/A"
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",71.5,66.6,61.2,71.7,66.4,58.3,69.0,64.9,"N/A"
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",69.9,65.0,56.4,68.0,64.2,54.2,66.9,63.8,"N/A"
"Wallingford School District","=""1480011""","STARS: 3-5 Autism","=""1481111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",61.3,57.8,45.6,62.0,57.5,43.2,62.6,57.3,"N/A"
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Bucks Hill Autism","=""1514611""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",43.5,33.6,"*",39.6,40.0,31.3,"*","*","N/A"
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",53.1,42.9,38.8,55.8,52.8,39.8,55.8,51.1,"N/A"
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",57.5,50.4,43.7,54.7,52.3,41.7,58.1,54.0,"N/A"
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","*","*","*","*","N/A","*","N/A","N/A","N/A"
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",57.1,52.2,49.0,58.5,54.2,47.4,60.3,56.7,"N/A"
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""","*","*","*",41.4,44.9,"*",45.5,40.5,"N/A"
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""","N/A","N/A","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",43.9,38.5,37.3,41.5,36.6,33.9,38.5,35.8,"N/A"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",54.6,47.5,41.2,52.3,50.6,37.7,53.9,50.2,"N/A"
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",58.9,49.9,45.8,57.3,51.6,43.1,61.0,56.5,"N/A"
"Waterbury School District","=""1510011""","Duggan Scope","=""1516811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",30.4,24.2,29.7,31.4,22.9,30.4,30.3,17.5,"N/A"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",64.3,57.2,50.9,59.7,54.9,45.2,62.0,57.1,"N/A"
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",55.0,44.8,41.4,53.1,46.5,40.9,56.0,47.8,"N/A"
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",57.3,51.4,41.9,58.0,56.0,41.4,58.6,55.6,"N/A"
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""","*","*","N/A",37.7,35.2,"*","*","*","N/A"
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",54.6,48.1,42.8,52.5,49.2,42.5,54.3,49.9,"N/A"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",45.2,39.4,39.0,43.8,38.8,36.3,42.9,39.2,"N/A"
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",64.8,59.6,53.1,70.4,65.0,55.8,69.5,63.6,"N/A"
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""","*","*","*",35.0,30.4,"*","*","*","N/A"
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",63.7,53.9,49.0,60.9,55.7,43.0,61.3,55.5,"N/A"
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",50.3,41.6,43.5,50.1,40.2,42.8,50.9,42.5,"N/A"
"Waterbury School District","=""1510011""","North End BDLC","=""1513711""","N/A","N/A","N/A",29.0,16.0,"*",28.0,15.1,"N/A"
"Waterbury School District","=""1510011""","North End Bilingual","=""1515711""","N/A","N/A","N/A",25.2,23.3,"*","*","*","N/A"
"Waterbury School District","=""1510011""","North End ESC","=""1511811""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",51.0,37.7,43.5,51.9,39.4,43.0,50.2,40.0,"N/A"
"Waterbury School District","=""1510011""","North End SCOPE","=""1514811""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Reed School","=""1513411""",56.9,49.1,40.4,56.5,49.7,39.4,58.5,53.0,"N/A"
