"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",75.2,70.5,66.0,74.8,71.4,62.2,74.7,70.5,"N/A"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",75.3,66.3,"N/A",70.7,65.1,"N/A",70.0,64.5,"N/A"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",75.6,61.9,64.2,75.0,64.3,63.1,77.0,65.3,"N/A"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",73.6,62.5,"*",68.2,62.3,"*",73.9,65.9,"N/A"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",71.0,65.4,"N/A",69.3,62.2,"N/A",69.5,63.6,"N/A"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",68.3,59.4,57.4,65.3,61.3,56.2,68.5,61.2,"N/A"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""","Canton High School","=""0236111""",67.9,63.3,72.4,75.5,68.5,66.9,71.3,66.5,"N/A"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",79.4,73.5,67.6,78.0,71.6,65.4,77.5,74.3,"N/A"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",76.9,69.6,63.7,75.5,72.3,68.7,76.8,72.8,"N/A"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",77.4,73.5,"N/A",77.6,73.6,"N/A",77.0,74.6,"N/A"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",71.0,56.5,56.3,72.7,63.0,"*",74.0,69.1,"N/A"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",81.8,77.5,68.2,82.1,78.2,66.3,83.2,78.9,"N/A"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",67.0,66.1,67.6,68.9,66.8,62.9,65.4,64.2,"N/A"
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",77.1,69.3,64.9,75.4,68.6,63.3,78.3,70.3,"N/A"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",81.5,73.2,63.4,82.1,75.2,62.8,79.6,73.1,"N/A"
"Cheshire School District","=""0250011""","Highland School","=""0250411""",81.5,73.7,67.6,82.1,77.8,62.6,83.8,79.5,"N/A"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*","*","*","*","*","*","*","*","N/A"
"Cheshire School District","=""0250011""","Norton School","=""0250511""",82.7,73.8,74.9,81.7,76.3,64.0,83.3,78.6,"N/A"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",81.9,75.5,67.0,81.5,76.3,65.0,83.0,78.0,"N/A"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",77.1,72.3,62.8,75.1,71.5,61.6,71.7,67.8,"N/A"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",74.2,66.6,62.8,71.7,68.5,59.9,69.5,66.0,"N/A"
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",76.3,64.8,"N/A",71.5,61.7,"N/A",70.3,59.5,"N/A"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",61.5,50.4,63.3,63.7,56.2,61.8,60.7,55.2,"N/A"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",64.1,57.1,65.3,62.5,60.8,63.4,62.3,57.7,"N/A"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*","N/A","*","*","N/A","*","*","N/A"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",77.3,73.4,65.6,78.2,74.2,64.9,76.2,73.1,"N/A"
"Colchester School District","=""0280011""","School Resilience Program","=""0280611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",77.5,65.6,64.9,74.9,70.9,65.3,76.4,73.7,"N/A"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",79.7,68.2,"*",74.7,70.9,"*",75.9,70.5,"N/A"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",74.5,65.4,60.5,71.3,65.6,61.0,70.8,63.3,"N/A"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",75.7,68.8,69.2,78.8,69.2,"*",77.8,65.2,"N/A"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",77.9,67.4,64.5,77.0,69.1,65.8,77.1,68.0,"N/A"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*","*","*","*","*","*","*","N/A"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",63.2,58.3,68.2,65.2,61.4,63.9,62.0,60.0,"N/A"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",75.3,69.8,66.6,77.8,73.8,69.2,79.6,74.1,"N/A"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",60.3,56.6,60.5,63.4,60.3,57.6,59.7,56.2,"N/A"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",75.7,66.6,60.3,72.3,66.5,62.7,75.1,69.1,"N/A"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",70.9,62.3,59.8,69.5,64.5,54.3,71.8,68.3,"N/A"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",29.7,28.9,35.8,"*","*","*","*","*","N/A"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",62.5,52.4,51.1,61.5,51.9,47.8,62.9,53.0,"N/A"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",53.8,49.1,49.2,56.0,50.0,43.2,52.9,49.2,"N/A"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",67.7,62.2,43.9,65.9,64.7,43.5,67.9,64.1,"N/A"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",71.2,66.7,57.3,71.9,69.1,55.7,77.0,75.3,"N/A"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",69.9,64.0,52.4,67.7,66.2,47.8,69.6,66.7,"N/A"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",68.7,61.8,54.6,66.3,64.3,51.2,69.8,65.7,"N/A"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",64.0,59.5,"N/A",64.7,61.5,"N/A",63.6,55.8,"N/A"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",73.0,67.6,"N/A",70.5,70.2,"N/A",74.6,68.3,"N/A"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",71.0,65.2,45.3,67.5,65.1,50.0,69.7,64.9,"N/A"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",68.0,64.7,51.4,63.3,64.3,48.3,64.5,64.9,"N/A"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",66.8,62.2,56.4,61.1,57.9,54.0,62.3,55.9,"N/A"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",59.8,52.3,47.6,58.9,52.4,46.9,59.9,51.6,"N/A"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",69.6,64.5,51.5,68.3,66.2,49.7,71.7,71.6,"N/A"
"Danbury School District","=""0340011""","South Street School","=""0341011""",67.4,60.5,46.5,64.8,60.1,46.2,64.2,60.7,"N/A"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",66.9,59.6,51.4,66.0,61.8,53.6,64.7,59.0,"N/A"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",77.0,71.3,60.7,74.8,70.0,58.0,76.7,73.4,"N/A"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",69.3,62.4,59.9,69.0,62.9,58.0,66.9,61.8,"N/A"
"Darien School District","=""0350011""","Darien High School","=""0356111""",76.8,78.1,71.9,78.1,79.0,66.6,73.9,74.7,"N/A"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",85.8,80.2,71.5,85.0,80.8,67.2,86.3,83.0,"N/A"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",86.2,79.8,68.4,83.6,80.0,64.0,82.9,81.2,"N/A"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",85.1,83.0,70.7,84.7,83.3,69.0,84.0,83.6,"N/A"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",84.4,78.0,65.6,81.8,76.7,64.1,82.9,80.6,"N/A"
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",84.7,79.1,65.1,82.2,77.9,66.3,83.8,80.5,"N/A"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",87.6,82.6,69.5,85.5,81.3,67.2,84.2,82.3,"N/A"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",75.3,70.0,67.0,78.0,72.6,62.5,76.7,73.2,"N/A"
"Derby School District","=""0370011""","Bradley School","=""0370611""",69.8,62.0,53.0,66.3,61.6,50.3,68.9,66.8,"N/A"
"Derby School District","=""0370011""","Derby High School","=""0376111""",45.5,43.0,50.4,54.8,50.7,42.6,50.8,44.7,"N/A"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",55.4,47.3,47.8,55.4,47.6,46.6,56.1,47.3,"N/A"
"Derby School District","=""0370011""","Irving School","=""0370411""",61.1,50.8,52.3,62.2,52.3,47.1,59.1,52.7,"N/A"
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*","*","*","*","*","*","*","*","N/A"
